Dist 1000; N0 -97.4328; PL -103.8 -> no-fading: 1.65959e-11[-77.8; S=49.6328; P=1]; fading: 1.96808e-11[-77.0596; S=50.3732; P=1]
Dist 2000; N0 -97.4328; PL -110.092 -> no-fading: 3.89805e-12[-84.0915; S=43.3412; P=1]; fading: 4.64802e-12[-83.3273; S=44.1054; P=1]
Dist 3000; N0 -97.4328; PL -113.772 -> no-fading: 1.67038e-12[-87.7718; S=39.6609; P=1]; fading: 1.98886e-12[-87.014; S=40.4188; P=1]
Dist 4000; N0 -97.4328; PL -116.383 -> no-fading: 9.15576e-13[-90.3831; S=37.0497; P=1]; fading: 1.09292e-12[-89.6141; S=37.8186; P=1]
Dist 5000; N0 -97.4328; PL -118.408 -> no-fading: 5.74318e-13[-92.4085; S=35.0243; P=1]; fading: 6.85556e-13[-91.6396; S=35.7932; P=1]
Dist 6000; N0 -97.4328; PL -120.063 -> no-fading: 3.92341e-13[-94.0634; S=33.3694; P=1]; fading: 4.66258e-13[-93.3137; S=34.119; P=1]
Dist 7000; N0 -97.4328; PL -121.463 -> no-fading: 2.84279e-13[-95.4625; S=31.9702; P=1]; fading: 3.35696e-13[-94.7405; S=32.6922; P=1]
Dist 8000; N0 -97.4328; PL -122.675 -> no-fading: 2.15051e-13[-96.6746; S=30.7582; P=1]; fading: 2.54886e-13[-95.9365; S=31.4962; P=1]
Dist 9000; N0 -97.4328; PL -123.744 -> no-fading: 1.68125e-13[-97.7437; S=29.6891; P=1]; fading: 1.97414e-13[-97.0462; S=30.3865; P=1]
Dist 10000; N0 -97.4328; PL -124.7 -> no-fading: 1.34896e-13[-98.7; S=28.7328; P=1]; fading: 1.55477e-13[-98.0833; S=29.3494; P=1]
Dist 11000; N0 -97.4328; PL -125.565 -> no-fading: 1.10532e-13[-99.5651; S=27.8677; P=1]; fading: 1.30988e-13[-98.8277; S=28.6051; P=1]
Dist 12000; N0 -97.4328; PL -126.355 -> no-fading: 9.21534e-14[-100.355; S=27.0779; P=1]; fading: 1.12414e-13[-99.4918; S=27.941; P=1]
Dist 13000; N0 -97.4328; PL -127.081 -> no-fading: 7.79576e-14[-101.081; S=26.3513; P=1]; fading: 9.38593e-14[-100.275; S=27.1575; P=1]
Dist 14000; N0 -97.4328; PL -127.754 -> no-fading: 6.67717e-14[-101.754; S=25.6787; P=1]; fading: 7.87167e-14[-101.039; S=26.3934; P=1]
Dist 15000; N0 -97.4328; PL -128.38 -> no-fading: 5.78055e-14[-102.38; S=25.0525; P=1]; fading: 6.92913e-14[-101.593; S=25.8396; P=1]
Dist 16000; N0 -97.4328; PL -128.966 -> no-fading: 5.05114e-14[-102.966; S=24.4667; P=0.982222]; fading: 5.97365e-14[-102.238; S=25.1952; P=1]
Dist 17000; N0 -97.4328; PL -129.516 -> no-fading: 4.45002e-14[-103.516; S=23.9164; P=0.963879]; fading: 5.29225e-14[-102.764; S=24.6692; P=0.988972]
Dist 18000; N0 -97.4328; PL -130.035 -> no-fading: 3.94894e-14[-104.035; S=23.3976; P=0.946586]; fading: 4.75954e-14[-103.224; S=24.2084; P=0.973614]
Dist 19000; N0 -97.4328; PL -130.526 -> no-fading: 3.527e-14[-104.526; S=22.9068; P=0.930227]; fading: 4.14476e-14[-103.825; S=23.6078; P=0.953592]
Dist 20000; N0 -97.4328; PL -130.992 -> no-fading: 3.16845e-14[-104.992; S=22.4412; P=0.914708]; fading: 3.68126e-14[-104.34; S=23.0927; P=0.936424]
Dist 21000; N0 -97.4328; PL -131.434 -> no-fading: 2.86129e-14[-105.434; S=21.9984; P=0.899946]; fading: 3.42372e-14[-104.655; S=22.7777; P=0.925925]
Dist 22000; N0 -97.4328; PL -131.857 -> no-fading: 2.59619e-14[-105.857; S=21.5761; P=0.885871]; fading: 3.09632e-14[-105.092; S=22.3412; P=0.911374]
Dist 23000; N0 -97.4328; PL -132.26 -> no-fading: 2.36586e-14[-106.26; S=21.1727; P=0.872422]; fading: 2.8573e-14[-105.44; S=21.9923; P=0.899744]
Dist 24000; N0 -97.4328; PL -132.646 -> no-fading: 2.1645e-14[-106.646; S=20.7863; P=0.859545]; fading: 2.53579e-14[-105.959; S=21.4739; P=0.882463]
Dist 25000; N0 -97.4328; PL -133.017 -> no-fading: 1.98749e-14[-107.017; S=20.4158; P=0.847194]; fading: 2.37071e-14[-106.251; S=21.1815; P=0.872718]
Dist 26000; N0 -97.4328; PL -133.373 -> no-fading: 1.83107e-14[-107.373; S=20.0598; P=0.835327]; fading: 2.14822e-14[-106.679; S=20.7535; P=0.858451]
Dist 27000; N0 -97.4328; PL -133.716 -> no-fading: 1.69219e-14[-107.716; S=19.7173; P=0.823909]; fading: 2.00891e-14[-106.97; S=20.4624; P=0.848746]
Dist 28000; N0 -97.4328; PL -134.046 -> no-fading: 1.56834e-14[-108.046; S=19.3872; P=0.812905]; fading: 1.87376e-14[-107.273; S=20.1599; P=0.838664]
Dist 29000; N0 -97.4328; PL -134.364 -> no-fading: 1.45743e-14[-108.364; S=19.0686; P=0.802288]; fading: 1.73354e-14[-107.611; S=19.8221; P=0.827404]
Dist 30000; N0 -97.4328; PL -134.672 -> no-fading: 1.35774e-14[-108.672; S=18.7609; P=0.792031]; fading: 1.61205e-14[-107.926; S=19.5066; P=0.816885]
Dist 31000; N0 -97.4328; PL -134.969 -> no-fading: 1.26781e-14[-108.969; S=18.4633; P=0.78211]; fading: 1.50902e-14[-108.213; S=19.2197; P=0.807323]
Dist 32000; N0 -97.4328; PL -135.258 -> no-fading: 1.18641e-14[-109.258; S=18.1751; P=0.772504]; fading: 1.38174e-14[-108.596; S=18.837; P=0.794567]
Dist 33000; N0 -97.4328; PL -135.537 -> no-fading: 1.11251e-14[-109.537; S=17.8958; P=0.763194]; fading: 1.31242e-14[-108.819; S=18.6135; P=0.787117]
